Temp,Density
736.8386784,2053.485296
749.2113885,2047.412481
761.1102502,2041.736384
772.3773138,2036.385797
783.9602765,2029.870152
795.5432391,2023.79259
808.0036989,2018.031196
818.7091644,2012.854065
831.6083728,2006.23229
842.5770874,2001.081417
855.3885461,1995.412101
866.0940116,1989.525777
881.6783613,1982.879928
893.1209244,1976.653626
902.9488927,1973.082951
917.9014445,1964.833598
929.2738078,1959.158314
940.8567705,1953.488771
953.1918735,1946.945839
963.4961974,1942.180203
977.8432762,1935.011502
988.8997405,1929.554785
999.4033816,1924.26218
1014.683532,1916.75448
1026.254795,1911.401783
1038.153657,1905.25505
1049.315421,1899.71187
1060.898383,1895.089613
1072.18049,1888.590244
1084.064309,1883.671186
1095.647271,1877.265174
1107.230234,1872.124813
1118.813197,1866.387682
1130.396159,1860.772617
1141.979122,1855.035486
1153.983283,1849.143737
1164.560049,1844.081137
1176.72801,1838.027537
1188.778971,1831.996542
1199.472736,1826.272521
1211.476898,1820.978899
1223.05986,1815.282456
1233.823826,1809.965777
1245.699287,1804.251703
