Temp K,Temp C,Density,Cp,K,Nu
273,0,863,962,21.7,7.6
323,50,852,950,22.6,6.34
373,100,841,937,23.4,5.33
423,150,830,924,24.1,4.53
473,200,818,911,24.7,3.9
523,250,806,900,25.2,3.43
573,300,795,891,25.5,3.01
623,350,783,883,25.8,2.8
673,400,771,877,26,2.6
723,450,759,873,26,2.45
773,500,748,871,26,2.34
823,550,736,871,25.8,2.25
873,600,724,873,25.6,2.18
923,650,712,877,25.2,2.11
973,700,700,883,24.8,2.03
1023,750,688,891,24.2,1.96
1073,800,676,901,23.5,1.89
1123,850,664,913,22.8,1.83
1173,900,651,928,21.9,1.78
1223,950,639,944,20.9,1.75
1273,1000,626,962,19.8,1.77
1323,1050,613,982,18.7,1.84
1373,1100,600,1005,17.4,2.03
1423,1150,587,1029,16,2.23
1473,1200,574,1056,14.5,2.6
1523,1250,560,1084,12.9,3.13
1573,1300,546,1115,11.1,3.84
